,LR_prediction,NB_prediction,RF_prediction,TB_prediction,original_sentiment,vader_sentiment,tweet
136,neutral,positive,neutral,positive,positive,positive,"#worldttwitter 📲 Welcome To #Qatar  ""The  Sunshine Country"" ✨ #FIFA22 ⚽ #WorldCup2022 🏆 ""Wishes All The Best"" 🙌 https://t.co/DNeFn6sUGE"
137,negative,negative,positive,neutral,neutral,neutral,Check out Christian Pulisic - 2016-17 Panini Donruss Debut Gold Parallel No. 224 - HGA 9.0 https://t.co/BJWigLTymZ #eBay via @eBay #WorldCup #WorldCup2022 #WorldcupQatar2022
138,positive,neutral,positive,neutral,neutral,neutral,On tour 🔛🇶🇦 #DimaWydad #DimaMaghreb  #WorldCup2022 https://t.co/GueEHVAQrr
139,positive,neutral,negative,neutral,neutral,neutral,Check out Christian Pulisic No. 7 USA - 2017 Panini Father's Day - Mint 9.0 HGA https://t.co/cQDwijXdud #eBay via @eBay #WorldCup2022 #WorldcupQatar2022 #WorldCup
140,neutral,negative,positive,negative,neutral,negative,@CaseyToGo legit did not know it was on (nor did I care) until #WorldCup2022 coverage on TSN ended...
141,neutral,negative,neutral,positive,positive,positive,"Best flag, Best anthem, language that has survived, against all odds WHAT A Country. #Cymru #Wales #WorldCup2022 @FAWales @IndyWalesFans @YesCymru @RedWallNews1 @WalesAwayDuty @thebarryhorns @yescymru https://t.co/IDMh5DA5EJ"
142,positive,positive,negative,neutral,neutral,positive,"Well said …  “If you've held more issue with Joe Lycett shredding £10,000 than Golden Balls David Beckham being paid a ridiculous £10,000,000 to tell everyone how 'feckin fantastic ' Qatar is, then you're part of the problem” #joelycett #WorldCup #WorldCup2022 #QatarWorldCup2022"
143,negative,positive,positive,neutral,neutral,neutral,Go with Brazil 🇧🇷 and Portugal 🇵🇹   #QatarWorldCup2022  #WorldCup2022  #WorldCup  #FIFAWorldCup  #FIFAWorldCup2022 https://t.co/U1vbKXab4x
144,negative,positive,neutral,negative,negative,negative,Stop American emigrant from going any damn where them stoclem took over rogermi kimthro Hashiq bands are ludicrous  #WorldCup2022
145,positive,negative,neutral,negative,negative,positive,#WorldCup2022 doesn’t cover up the malign role of Qatar in supporting Islamist extremists.  #BoycottQatar2022  #IranRevoIution2022  #IranProtests2022 https://t.co/dcdKhlKxpp
146,neutral,negative,negative,positive,neutral,positive,"@ShamoonHafez Honestly, I don't know what #soccer #fans from #Qatar expected from their national team. The fans should enjoy and experience one in lifetime chance of hosting the #WorldCup2022 . Nobody expects for Qatar to advance from the group stage. Enjoy the football and support the team"
147,positive,neutral,neutral,neutral,neutral,negative,#WorldCup2022 🇩🇪 🏳️‍🌈 Germany blasts FIFA for restricting human rights protests – DW – 11/19/2022 https://t.co/9mgIKy4XO3
148,positive,neutral,neutral,neutral,neutral,positive,Please join us for the @USMNT matches for the group stage:  Monday for 🇺🇸 v 🏴󠁧󠁢󠁷󠁬󠁳󠁿 @ColonelHarts Tosa Black Friday for 🇺🇸 v 🏴󠁧󠁢󠁥󠁮󠁧󠁿 @threelionspub Shorewood Tuesday 11/29 for 🇺🇸 v 🇮🇷 @RedLionPubMKE Milwaukee All matches are at 1pm central time. #WorldCup2022 #USMNT #LFG #MKE https://t.co/gz2NaTVqlQ
149,positive,negative,neutral,negative,negative,negative,"When ever it's Europe it's good, when it's outside Europe, it's bad. Billions of criticism whenever the world cup is out of Europe. You made it to suit your weather, when it's made to suit a different geographical weather it's sh!t. Europe WHY? #WorldCup2022"
150,neutral,positive,neutral,negative,negative,neutral,Anti-regime Iranian player watch:  Iran's Hajsafi: Conditions at home 'are not right'  #worldcup2022 #iranprotests https://t.co/nqW5oqjGpp
151,positive,negative,positive,positive,positive,positive,Abu Abdullah may Allah bless him giving a strong &amp; powerful worded speech to the world at the opening ceremony of #FIFAWorldCup #WorldCup #WorldCup2022. https://t.co/gS30LLirxR
152,neutral,negative,neutral,negative,negative,neutral,Saudi man refuses to be interviewed by an apartheid Israeli TV channel during #WorldCup2022 in Qatar. ❤️🇵🇸 https://t.co/BxANo8bVcL
153,positive,positive,positive,neutral,neutral,positive,Praying this Ecuador fan makes it out of Qatar alive 😂 #WorldCup2022 https://t.co/yzk5zkPvnU
154,neutral,positive,neutral,positive,positive,positive,"Football fans are reacting with excitement after seeing the two greatest footballers of all time, #LionelMessi   and #CristianoRonaldo, in a new photo. The #PSG  and #ManchesterUnited  stars broke the internet .  read...https://t.co/3I6xDQlqSg  #football #soccerlife #WorldCup2022 https://t.co/nRI7baC820"
155,positive,positive,positive,positive,positive,positive,I'm going for @England to win 3-0 tomorrow #ENGIRN #WorldCup2022
156,neutral,neutral,neutral,positive,positive,positive,A nice gesture from #Qatar #QatarWorldCup2022 #WorldCup2022 https://t.co/XrBg5i09De
157,positive,positive,negative,negative,negative,neutral,Saudi man refuses to be interviewed by an apartheid Israeli TV channel during #WorldCup2022 in Qatar. ❤️🇵🇸 https://t.co/cZpyQh9ZTD
158,positive,neutral,positive,negative,neutral,positive,This football #WorldCup2022 feels like  the @NBA bubble 🤣😂
159,negative,negative,neutral,positive,neutral,positive,Betting has never been better With Coral  1. New Customers 2. Place £€5 bet on any market 3. Free bets paid as 4x £€5 Coral Link Below https://t.co/1Di5RX1wid  . 18+T&amp;Cs GambleAwear #WorldcupQatar2022 #WCIxFootball  #sportsbetting #WorldCup2022 #gamblingtwitter #HorseRacing;- https://t.co/Qv4jwVeAQX
160,negative,positive,neutral,neutral,neutral,neutral,Word?!  #ug #WorldCup2022 https://t.co/0nQlPoV7vy
161,neutral,positive,neutral,negative,negative,negative,"What do you expect from a nation built upon slavery &amp; the genocide of its own native indigenous population?  I'm sure the woke activists concerned about Qatar will come forward &amp; take a stance 100 times stronger against the USA, right... right? #QatarWorldCup2022 #WorldCup2022"
162,positive,neutral,negative,positive,neutral,positive,"We have joined the party with @Zocalo_Sactown for the upcoming Mexico versus Poland World Cup soccer match, this coming Tuesday at 8:00 am!   Who will be joining us?   #WorldCup2022 #VamosMexico https://t.co/VBNihl1SaP"
163,positive,negative,neutral,negative,negative,positive,"@rogbennett No decent, moral and democratic person should be at the #WorldCup2022 in #Qatar. it should have been boycotted as should the last World Cup in Russia, but the corrupt #FIFA and footballers like money and they sell themselves cheap."
164,neutral,neutral,positive,negative,negative,positive,"Current: 50/175 for meds 0/1400 for rent. Please…if you can help, do…or at least share the below. I don’t know what else to do. #MutualAidRequest #helpless #helpfortheholidays #pleasedoyourmagic #WorldCup2022 I am shaking. https://t.co/7Hse3obqkX"
165,positive,neutral,negative,positive,positive,positive,Can't believe how quickly @elonmusk made Twitter fun again.  Can you imagine what this genius will do by the end of the year?  Meta and YouTube are definitely monitoring the situation lol  #TwitterTakeover  #MakeTwitterGreatAgain  #CNN  #MAGA  #BlueWave  #NFL  #WorldCup2022
166,neutral,positive,positive,positive,positive,positive,Good music by @the_tigz here listen  https://t.co/zYutob337Q #QATECU  #iamacelebritygetmeoutofhere #Worlds2022 #WorldCup2022 #Celebrity #iamaceleb #iamacelebrity
167,positive,negative,positive,neutral,neutral,neutral,Ecuador’s early goal disallowed by OFFSIDE TAGS: #f9bol #worldcup #worldcup2022… https://t.co/6dYBmqd5uW
168,neutral,neutral,positive,neutral,neutral,neutral,Ecuador’s early goal disallowed by OFFSIDE TAGS: #f9bol #worldcup #worldcup2022… https://t.co/xCPzlt3Vmf
169,positive,neutral,negative,neutral,neutral,neutral,Football fans raise the Palestinian flag during the first match of #WorldCup2022 in Qatar.  #RaisePalestineFlag  #FIFAWorldCup https://t.co/MNTUk9dBkt
170,neutral,neutral,neutral,neutral,neutral,neutral,Argentina vs Brazil #WorldCup2022  finals
171,positive,neutral,negative,positive,negative,neutral,#WorldCup2022 Opening Ceremony in #Qater so far is one of the most unreal Ceremony of all time in my generation
172,positive,positive,neutral,negative,negative,negative,Once again IRGC killed a 16/Y boy in Javanrud #كاروان_قادري today.   Where in history has Iran seen a more reprehensible regime than the corrupt Islamic Republic? #WorldCup2022 #IranRevolution2022 https://t.co/RTYX1DqjBa
173,neutral,positive,negative,neutral,neutral,neutral,Football fans raise the Palestinian flag during the first match of #WorldCup2022 in Qatar.  #RaisePalestineFlag  #FIFAWorldCup https://t.co/ll0llIjIEP
174,positive,positive,positive,positive,positive,positive,"A historic &amp; astonishing ceremony in every sense of the word. For 1st time in history, #FIFAWorldCup ⚽️is hosted in the Middle East🇶🇦. Remarkable success for #Qatar (2.8 million in population)🇶🇦❤️  - #Qatar2022  #QatarWorldCup2022  #WorldCup2022 #قطر_تبدع #قطر2022 #قطر_الاكوادور https://t.co/0Ap0cnycPu"
175,neutral,neutral,positive,neutral,positive,neutral,Just in time for the #worldcup2022   Check it out on my online shop  https://t.co/gTxELruUDr https://t.co/7ETOvfKQsF
176,positive,neutral,positive,negative,negative,negative,"#mahsaami̇ni̇  #IranRevolution2022  #WorldCup2022  #MahabadMassacre #مهسا_امینی  #اعتراضات_سراسری  #مهاباد_تنها_نیست  I can't tell you how difficult it is to watch these people in Mahabad, Iran met with tanks. There is no justification for these people getting killed!"
177,positive,positive,positive,neutral,positive,positive,"Two goats ..🇵🇹🇦🇷🐐🐐  one more last game ,and one glory 🏆. #WorldCup2022  #CR7𓃵  #Messi𓃵 https://t.co/qd0e80cXzx"
178,neutral,positive,positive,neutral,neutral,neutral,@ClayTravis @dandakich you just know Joe Biden is rooting for Iran vs England tomorrow. #WorldCup2022
179,neutral,neutral,neutral,neutral,neutral,positive,Lfg🚀🚀🚀 USA 🇺🇸  vs ENGLAND 🏴󠁧󠁢󠁥󠁮󠁧󠁿  Should we do a #BadBears team USA 🇺🇸 GIVEAWAY tomorrow in support of team USA? 100 Retweets and ❤️s we giveaway 500! #Enjin #EnjinNFT #FIFAWorldCup #WorldCup2022 https://t.co/Sg3ycyAF7q
180,positive,positive,positive,neutral,neutral,neutral,Which would you choose to watch first? #ImACeleb #WorldcupQatar2022 #WorldCup2022
181,negative,negative,neutral,negative,negative,negative,Last thought on Opening Day of #WorldCup2022 no stadium is worth 1 life lost. To know that over 10k were lost over this WC is truly sickening. Shame on you #Qatar
182,neutral,neutral,positive,negative,negative,negative,Well William said he's boycotting the #WorldCup2022 for human rights issues 😂😂😂 !! https://t.co/DHuKE5sqom
183,positive,negative,positive,negative,negative,positive,Hey @GaryLineker  Since you’re pretending to be a man of human rights and principles maybe you should talk about this with your pundits. #Hypocrites  #westernhypocrisy  #QatarWorldCup2022 #WorldCup2022 https://t.co/pf17dRzrwE
184,positive,negative,negative,negative,negative,negative,"Fuck FIFA, fuck Qatar, take the booking! 👊 #WorldCup2022 https://t.co/AYDu90rEwA"
185,neutral,negative,neutral,negative,negative,positive,"People are saying ""shame on Qatar"" for doing this or that.  Qatar has told us who they are for a long time.  Last I checked, FIFA had a choice of who they would award #WorldCup2022 to.  It starts with FIFA and whatever process led to the Qatar choice."
186,negative,negative,neutral,neutral,positive,neutral,Beer can condoms - this year's essential accessory for #WorldCup2022   #priceless https://t.co/NhZOAAmGIu
187,neutral,positive,neutral,neutral,neutral,negative,"Qatari officials are set to ban the sale of alcohol within #WorldCup2022 stadiums, dramatically reversing a decision to allow sales of Budweiser beer.  @SimoneFoxman has the latest https://t.co/jZabeIEv7C https://t.co/Q1hD5HbKBy"
188,positive,negative,negative,neutral,positive,neutral,1 more sleep…..🇺🇸🇺🇸🇺🇸 #WorldCup2022
189,positive,negative,positive,negative,negative,negative,The IRGC killed a 16/Y boy in Javanrud #بهاالدین_ویسی showing how unimportant children mean to them by killing his brother at his funeral #نجم_الدین_ویسی .  Where in history has Iran seen a more reprehensible regime than the corrupt Islamic Republic? #WorldCup2022 https://t.co/mEZEieaunO
190,neutral,positive,neutral,neutral,neutral,negative,What day do we watch Canada lose to Croatia? #WorldCup2022
191,neutral,neutral,positive,negative,negative,negative,Instead of watching @WorldCupEN Keep an eye on #Javanrood where brave protesters are murdered by the islamic regime of Iran. @FIFAcom   #worldcup2022 #worldcup #fifa2022 #worldcup2022qatar #worldcupqatar #fifa2022qatar #qatar2022 https://t.co/HHHfGnbMB7
192,positive,negative,positive,neutral,neutral,negative,Just chilling with the boys   #WorldCup2022 https://t.co/TFXorOfXli
193,positive,positive,positive,negative,negative,positive,"@SkyNews So when they take the field in the #WorldCup2022  it won't be so much as an England team trying to bring the Cup home for their country, as a bunch of elites hellbent on virtue signalling."
194,negative,positive,positive,positive,positive,positive,I am cheering for Messi and don’t cry for me Argentina!! #WorldCup2022
195,positive,positive,negative,positive,positive,positive,this is absolutely amazing! 🔥 210 FPL managers 178 FWC managers  Breakout Fantasy World Cup 2022 is bringing a huge community. #WorldCup2022 https://t.co/t9tWKFydxK
196,neutral,negative,positive,neutral,positive,positive,I feel like a child at Christmas 🏴󠁧󠁢󠁷󠁬󠁳󠁿⚽️ #WorldCup2022
197,neutral,negative,neutral,negative,negative,negative,"@richardajkeys @beINSPORTS_EN Not making good reading Richard… • After all that cash, a humbling for Qatar 🤦🏻‍♂️ #WorldCup2022 #WorldCup #QatarWorldCup2022 #Qatar2022 https://t.co/IHxue4JVQl"
198,neutral,neutral,neutral,neutral,neutral,neutral,England's £160 World Cup kit is made in Bangladesh by workers on 21p an hour https://t.co/xWfzT2xomZ #WorldCup2022
199,neutral,negative,negative,positive,positive,positive,@EconomyBeyond Hopefully it’s taking beer to all the #WorldCup2022 fans
200,neutral,positive,positive,positive,positive,positive,"Really hoping all the lads are getting a good nights rest rn @usmntonly, tomorrow we go #syked #USMNT #usavswales #stillsyked #WorldCup2022"
201,negative,neutral,positive,negative,negative,negative,@SkyNews Should of boycotted #WorldCup2022 if you were that bothered instead of pointless kneeling &amp; virtue signalling @England #EnglandFootball
